col  train     valid
0   0.713754  0.653038
1   0.659795  0.640716
2   0.648739  0.634171
3   0.642879  0.630064
4   0.639155  0.626651
5   0.635708  0.623665
6   0.633430  0.621764
7   0.631957  0.621321
8   0.630724  0.619408
9   0.630204  0.619717
10  0.629313  0.619412
11  0.628413  0.622296
12  0.627984  0.617228
13  0.627357  0.616620
14  0.626888  0.617545
15  0.626265  0.615863
16  0.625535  0.615019
17  0.625547  0.614928
18  0.624805  0.614203
19  0.624211  0.614143
20  0.624229  0.613064
21  0.623182  0.613051
22  0.623135  0.612635
23  0.622204  0.612443
24  0.621671  0.612049
25  0.621235  0.611097
26  0.620360  0.611219
27  0.619897  0.610723
28  0.619190  0.610562
29  0.619209  0.610391
30  0.618437  0.610250
31  0.618167  0.609875
32  0.617130  0.609243
33  0.616658  0.609183
34  0.616356  0.608527
35  0.615612  0.608015
36  0.615372  0.607912
37  0.614490  0.607519
38  0.614027  0.607197
39  0.613651  0.606888
40  0.613670  0.606728
41  0.613091  0.606571
42  0.612510  0.606567
43  0.612416  0.606728
44  0.611775  0.606322
45  0.611639  0.606135
46  0.611296  0.606087
47  0.611296  0.606066
48  0.611084  0.606142
49  0.611160  0.605993
