col	train	valid
0	0.719403	0.659411
1	0.668940	0.648993
2	0.658200	0.641914
3	0.652199	0.638297
4	0.647251	0.633940
5	0.643008	0.630197
6	0.639780	0.627316
7	0.637843	0.626015
8	0.636152	0.624338
9	0.634797	0.623729
10	0.633785	0.623527
11	0.632995	0.623081
12	0.632387	0.621094
13	0.631855	0.620440
14	0.631227	0.620495
15	0.630390	0.620496
16	0.630285	0.620493
17	0.629662	0.619287
18	0.629171	0.619241
19	0.629048	0.618087
20	0.628256	0.619980
21	0.627681	0.618142
22	0.627328	0.616980
23	0.627038	0.617706
24	0.626829	0.616803
25	0.626242	0.616700
26	0.625615	0.616032
27	0.625166	0.615679
28	0.624336	0.615190
29	0.623892	0.614516
30	0.623509	0.615346
31	0.623162	0.614295
32	0.622521	0.613907
33	0.622033	0.614212
34	0.621432	0.613535
35	0.620855	0.612857
36	0.620648	0.612570
37	0.620055	0.612797
38	0.619624	0.612142
39	0.619125	0.612072
40	0.618735	0.611819
41	0.618334	0.611691
42	0.617902	0.611343
43	0.617821	0.611538
44	0.617671	0.611665
45	0.617303	0.611253
46	0.617043	0.611290
47	0.617006	0.611235
48	0.616559	0.611313
49	0.616749	0.611213
